food_name,category,calories,protein,carbs,fat,iron,vitamin_c,is_glutenfree,is_nutfree,is_vegan,nutrient_density,protein_ratio,carb_fat_ratio,energy_density,micronutrient_score,fit
"Tomatoes, red, ripe, canned, packed in tomato juice",Vegetables and Vegetable Products,16.0,0.79,3.47,0.25,0.57,12.6,1,1,1,0.8211764705882353,0.04647058823529412,13.824701195219124,0.16,18.299999999999997,1
Fried green tomatoes,Fried vegetables,216.0,3.68,21.78,12.84,1.64,6.2,0,1,0,0.053087557603686636,0.01695852534562212,1.6961295849232927,2.16,22.599999999999998,1
Tomato juice cocktail,Vegetable juice,22.0,0.93,3.87,0.31,0.28,54.3,0,1,0,2.413478260869565,0.04043478260869565,12.443729903536978,0.22,57.099999999999994,1
"Rice, white, with tomatoes and/or tomato-based sauce, fat added",Rice mixed dishes,107.0,2.0,19.41,2.18,0.97,4.1,1,1,1,0.06546296296296296,0.018518518518518517,8.89958734525447,1.07,13.799999999999999,0
"Tomatoes, canned, cooked",Tomatoes,43.0,0.82,3.23,3.04,0.56,12.2,1,1,1,0.3086363636363636,0.018636363636363635,1.0621506083525156,0.43,17.8,0
"Tomatoes, fresh, cooked",Tomatoes,50.0,1.08,4.71,3.42,0.33,15.8,1,1,1,0.3374509803921569,0.021176470588235297,1.376790412160187,0.5,19.1,0
Bacon and tomato dressing,Salad dressings and vegetable oils,326.0,1.8,2.0,35.0,0.27,8.8,0,1,0,0.03324159021406728,0.005504587155963303,0.05714122453644182,3.26,11.5,0
"Beans and rice, with tomatoes","Bean, pea, legume dishes",137.0,4.7,21.9,3.46,1.46,1.5,0,1,0,0.05550724637681159,0.034057971014492754,6.327650967928344,1.37,16.1,1
Pork with chili and tomatoes,Meat mixed dishes,95.0,11.64,2.68,3.99,0.58,16.7,0,1,0,0.30125,0.12125000000000001,0.6715108995239288,0.95,22.5,1
"Soup, cream of tomato","Soups, cream-based",70.0,1.21,6.39,4.68,0.6,6.0,0,1,0,0.11,0.01704225352112676,1.3650929288613542,0.7,12.0,0
"Soup, tomato, canned","Soups, broth-based",34.0,0.63,7.65,0.33,0.44,2.8,0,1,0,0.11057142857142857,0.018,23.11178247734139,0.34,7.2,0
Stewed potatoes with tomatoes,Mashed potatoes and white potato mixtures,87.0,1.71,12.89,3.29,0.36,15.1,0,1,0,0.19511363636363635,0.019431818181818182,3.9167426314190217,0.87,18.7,0
"Onions, raw",Onions,38.0,0.86,8.46,0.08,0.24,8.2,0,1,0,0.23846153846153845,0.02205128205128205,104.44444444444446,0.38,10.6,0
"Bread, onion",Yeast breads,238.0,8.81,44.32,2.95,3.11,0.9,0,1,0,0.053640167364016736,0.03686192468619247,15.018637749915282,2.38,31.999999999999996,1
"Onions, green, raw",Onions,32.0,1.83,7.34,0.19,1.48,18.8,0,1,0,0.6699999999999999,0.05545454545454546,38.42931937172775,0.32,33.6,1
"Onions, green, cooked",Onions,63.0,2.09,8.37,3.21,1.69,18.2,0,1,0,0.3434375,0.03265625,2.6066645904702583,0.63,35.099999999999994,1
"Onions, pearl, cooked",Onions,50.0,0.7,6.49,2.59,0.33,4.9,0,1,0,0.11627450980392158,0.013725490196078431,2.5048243921265922,0.5,8.200000000000001,0
"Onion dip, regular","Dips, gravies, other sauces",346.0,2.15,3.92,35.77,0.1,0.9,0,1,0,0.009077809798270893,0.0061959654178674346,0.10958597746778116,3.46,1.9,0
"Onion dip, light","Dips, gravies, other sauces",166.0,2.0,11.87,12.36,0.1,0.9,0,1,0,0.017964071856287425,0.011976047904191617,0.9602782946363563,1.66,1.9,0
"Bread, onion, toasted",Yeast breads,262.0,9.68,48.7,3.24,3.41,0.8,0,1,0,0.052813688212927756,0.03680608365019011,15.026226473310707,2.62,34.9,0
"DENNY'S, onion rings",Restaurant Foods,385.0,5.29,41.0,22.2,0.74,7.45,0,1,0,0.06765720081135904,0.013704663212435233,1.8467636592946264,3.85,16.85,0
Fried onion rings,Fried vegetables,352.0,4.19,39.94,19.82,0.96,1.5,0,1,0,0.018838526912181304,0.011869688385269124,2.0150345593057866,3.52,11.1,0
Onion flavored rings,"Tortilla, corn, other chips",499.0,7.7,65.1,22.6,3.72,1.8,0,1,0,0.02644,0.0154,2.880403521968054,4.99,39.0,0
"Onions, cooked, as ingredient",Not included in a food category,47.0,1.29,10.99,0.12,0.25,7.4,0,1,0,0.18625000000000003,0.026875,90.82644628099175,0.47,9.9,0
"Onions, dehydrated flakes",Vegetables and Vegetable Products,349.0,8.95,83.3,0.46,1.55,75.0,1,1,1,0.24428571428571427,0.025571428571428568,180.6941431670282,3.49,90.5,1
"Onions, for use on a sandwich",Vegetables on a sandwich,38.0,0.86,8.46,0.08,0.24,8.2,1,1,1,0.23846153846153845,0.02205128205128205,104.44444444444446,0.38,10.6,0
"Onions, red, raw",Vegetables and Vegetable Products,44.0,0.94,9.93,0.1,0.24,8.1,1,1,1,0.2062222222222222,0.020888888888888887,98.3168316831683,0.44,10.5,0
"Onions, sweet, raw",Vegetables and Vegetable Products,32.0,0.8,7.55,0.08,0.26,4.8,1,1,1,0.17757575757575755,0.024242424242424242,93.20987654320987,0.32,7.4,0
"Onions, welsh, raw",Vegetables and Vegetable Products,142.0,1.9,6.5,0.4,1.22,27.0,1,1,1,0.21062937062937065,0.013286713286713285,16.209476309226932,1.42,39.2,1
"Onions, white, raw",Vegetables and Vegetable Products,35.0,0.89,7.68,0.13,0.15,7.45,1,1,1,0.06765720081135904,0.024722222222222222,58.62595419847328,0.35,16.85,0
"Onions, yellow, raw",Vegetables and Vegetable Products,38.0,0.83,8.61,0.05,0.28,8.2,1,1,1,0.23871794871794869,0.02128205128205128,168.8235294117647,0.38,11.0,0
Garlic sauce,"Dips, gravies, other sauces",683.0,1.43,2.87,74.02,0.22,1.0,0,1,0,0.0038742690058479533,0.0020906432748538013,0.03877278069736967,6.83,3.2,0
"Garlic, cooked",Mustard and other condiments,142.0,6.58,28.03,0.38,1.69,8.0,0,1,0,0.11377622377622378,0.046013986013986014,73.56955380577428,1.42,24.9,1
"Garlic, raw",Mustard and other condiments,143.0,6.62,28.2,0.38,1.7,10.0,0,1,0,0.12722222222222224,0.04597222222222222,74.01574803149606,1.43,27.0,1
"Roll, garlic",Rolls and buns,309.0,10.84,51.92,6.44,3.71,0.2,0,1,0,0.04758064516129032,0.03496774193548387,8.060860114888992,3.09,37.300000000000004,0
"Garlic bread, frozen",Baked Products,1460.0,8.36,41.7,16.6,3.05,0.2,0,1,0,0.007946611909650923,0.005722108145106091,2.511896873682308,14.6,30.7,0
"Garlic bread, NFS",Yeast breads,349.0,8.34,41.64,16.58,3.04,0.2,0,1,0,0.03308571428571428,0.023828571428571428,2.5113081237561063,3.49,30.599999999999998,0
"Garlic bread, from frozen",Yeast breads,350.0,8.36,41.72,16.61,3.05,0.2,0,1,0,0.03307692307692307,0.023817663817663814,2.5115887062789715,3.5,30.7,0
"PIZZA HUT, breadstick, parmesan garlic",Fast Foods,1430.0,12.2,44.5,12.9,4.65,7.45,0,1,0,0.06765720081135904,0.008525506638714186,3.4493450120145726,14.3,16.85,0
"Garlic bread, from fast food / restaurant",Yeast breads,349.0,8.34,41.64,16.58,3.04,0.2,0,1,0,0.03308571428571428,0.023828571428571428,2.5113081237561063,3.49,30.599999999999998,0
"Garlic bread, with melted cheese, from frozen",Yeast breads,343.0,10.36,36.86,17.1,2.68,0.2,0,1,0,0.03848837209302325,0.03011627906976744,2.1554295070463714,3.43,27.0,0
"Garlic bread, with parmesan cheese, from frozen",Yeast breads,351.0,8.78,41.14,16.83,3.0,0.2,0,1,0,0.0340340909090909,0.024943181818181816,2.444299209791456,3.51,30.2,0
"Shrimp in garlic sauce, Puerto Rican style",Seafood mixed dishes,281.0,11.56,2.45,24.96,0.41,12.0,0,1,0,0.08499999999999999,0.04099290780141844,0.09815311886543007,2.81,16.1,0
"Garlic bread, with parmesan cheese, from fast food / restaurant",Yeast breads,351.0,8.76,41.06,16.8,2.99,0.2,0,1,0,0.03394886363636363,0.024886363636363637,2.443902148681626,3.51,30.1,0
"Garlic bread, with melted cheese, from fast food / restaurant",Yeast breads,339.0,11.41,34.21,17.34,2.48,0.2,0,1,0,0.04144117647058824,0.033558823529411766,1.9727812698229628,3.39,25.0,0
"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",Fast Foods,1430.0,12.2,44.5,12.9,4.65,0.0,0,1,0,0.011774982529699511,0.008525506638714186,3.4493450120145726,14.3,46.5,0
"HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored",Pork Products,492.0,17.8,1.79,4.16,0.6,1.7,0,1,0,0.04077079107505071,0.03610547667342799,0.43018505167027155,4.92,7.7,0
"Abiyuch, raw",Fruits and Fruit Juices,290.0,1.5,17.6,0.1,1.61,54.1,1,1,1,0.1965979381443299,0.005154639175257732,174.25742574257427,2.9,70.2,1
